Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:12.013,1:11.278,1:10.810,17,
,2,5,"Sebastian
Vettel
VET",Ferrari,1:12.415,1:11.518,1:11.039,21,
,3,44,"Lewis
Hamilton
HAM",Mercedes,1:12.460,1:11.584,1:11.232,22,
,4,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:12.639,1:11.391,1:11.266,22,
,5,77,"Valtteri
Bottas
BOT",Mercedes,1:12.434,1:12.002,1:11.441,25,
,6,31,"Esteban
Ocon
OCO",Aston Martin,1:13.028,1:12.188,1:12.061,27,
,7,14,"Fernando
Alonso
ALO",McLaren,1:12.657,1:12.269,1:12.110,26,
,8,55,"Carlos
Sainz
SAI",Alpine,1:12.950,1:12.286,1:12.130,28,
,9,11,"Sergio
Perez
PER",Aston Martin,1:12.848,1:12.194,1:12.154,23,
,10,10,"Pierre
Gasly
GAS",AlphaTauri,1:12.941,1:12.313,1:12.221,29,
,11,27,"Nico
Hulkenberg
HUL",Alpine,1:13.065,1:12.411,,22,
,12,2,"Stoffel
Vandoorne
VAN",McLaren,1:12.463,1:12.440,,19,
,13,35,"Sergey
Sirotkin
SIR",Williams,1:12.706,1:12.521,,19,
,14,16,"Charles
Leclerc
LEC",Alfa Romeo,1:12.829,1:12.714,,20,
,15,8,"Romain
Grosjean
GRO",Haas,1:12.930,1:12.728,,21,
,16,28,"Brendon
Hartley
HAR",AlphaTauri,1:13.179,,,12,
,17,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:13.265,,,11,
,18,18,"Lance
Stroll
STR",Williams,1:13.323,,,10,
