Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:14.912,1:14.357,1:13.622,21,
,2,6,"Nico
Rosberg
ROS",Mercedes,1:14.873,1:14.043,1:13.791,24,
,3,44,"Lewis
Hamilton
HAM",Mercedes,1:14.826,1:14.056,1:13.942,21,
,4,5,"Sebastian
Vettel
VET",Ferrari,1:14.610,1:14.318,1:14.552,23,
,5,27,"Nico
Hulkenberg
HUL",Aston Martin,1:15.333,1:14.989,1:14.726,25,
,6,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:15.499,1:14.789,1:14.732,25,
,7,55,"Carlos
Sainz
SAI",AlphaTauri,1:15.467,1:14.805,1:14.749,23,
,8,11,"Sergio
Perez
PER",Aston Martin,1:15.328,1:14.937,1:14.902,28,
,9,26,"Daniil
Kvyat
KVY",AlphaTauri,1:15.384,1:14.794,1:15.273,23,
,10,14,"Fernando
Alonso
ALO",McLaren,1:15.504,1:15.107,1:15.363,26,
,11,77,"Valtteri
Bottas
BOT",Williams,1:15.521,1:15.273,,15,
,12,21,"Esteban
Gutierrez 
GUT",Haas,1:15.592,1:15.293,,22,
,13,22,"Jenson
Button
BUT",McLaren,1:15.554,1:15.352,,15,
,14,19,"Felipe
Massa
MAS",Williams,1:15.710,1:15.385,,19,
,15,8,"Romain
Grosjean
GRO",Haas,1:15.465,1:15.571,,22,
,16,20,"Kevin
Magnussen
MAG",Alpine,1:16.253,1:16.058,,22,
,17,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:16.299,,,12,
,18,30,"Jolyon
Palmer
PAL",Alpine,1:16.586,,,12,
,19,88,"Rio
Haryanto
HAR",MRT Mercedes,1:17.295,,,12,
,20,94,"Pascal
Wehrlein
WEH",MRT Mercedes,1:17.452,,,12,
,NC,33,"Max
Verstappen
VER",RedBull Racing,1:22.467,,,3,
