Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,44,"Lewis
Hamilton
HAM",Mercedes,1:29.047,1:27.819,1:27.319,18,
,2,77,"Valtteri
Bottas
BOT",Mercedes,1:29.332,1:28.543,1:27.651,17,
,3,5,"Sebastian
Vettel
VET",Ferrari,1:29.352,1:28.225,1:27.791,19,
,4,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:29.475,1:28.935,1:28.306,13,
,5,33,"Max
Verstappen
VER",RedBull Racing,1:29.181,1:28.747,1:28.332,12,
,6,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:29.163,1:29.079,1:28.498,15,
,7,31,"Esteban
Ocon
OCO",Aston Martin,1:30.115,1:29.199,1:29.111,16,
,8,11,"Sergio
Perez
PER",Aston Martin,1:29.696,1:29.343,1:29.260,17,
,9,19,"Felipe
Massa
MAS",Williams,1:30.352,1:29.687,1:29.480,16,
,10,14,"Fernando
Alonso
ALO",McLaren,1:30.525,1:29.749,1:30.687,13,
,11,2,"Stoffel
Vandoorne
VAN",McLaren,1:30.654,1:29.778,,11,
,12,27,"Nico
Hulkenberg
HUL",Alpine,1:30.252,1:29.879,,10,
,13,20,"Kevin
Magnussen
MAG",Haas,1:30.774,1:29.972,,11,
,14,30,"Jolyon
Palmer
PAL",Alpine,1:30.516,1:30.022,,10,
,15,55,"Carlos
Sainz
SAI",AlphaTauri,1:30.565,1:30.413,,11,
,16,8,"Romain
Grosjean
GRO",Haas,1:30.849,,,5,
,17,10,"Pierre
Gasly
GAS",AlphaTauri,1:31.317,,,7,
,18,18,"Lance
Stroll
STR",Williams,1:31.409,,,6,
,19,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:31.597,,,7,
