Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,6,"Nico
Rosberg
ROS",Mercedes,1:41.111,1:40.979,1:40.237,12,
,2,44,"Lewis
Hamilton
HAM",Mercedes,1:40.974,1:40.758,1:40.614,12,
,3,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:42.500,1:41.612,1:41.051,14,
,4,11,"Sergio
Perez
PER",Aston Martin,1:41.983,1:41.560,1:41.184,18,
,5,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:42.275,1:41.830,1:41.444,17,
,6,77,"Valtteri
Bottas
BOT",Williams,1:42.608,1:41.868,1:41.656,19,
,7,27,"Nico
Hulkenberg
HUL",Aston Martin,1:41.996,1:41.925,1:41.686,15,
,8,19,"Felipe
Massa
MAS",Williams,1:42.303,1:42.349,1:41.759,20,
,9,26,"Daniil
Kvyat
KVY",RedBull Racing,1:42.540,1:42.328,1:41.933,22,
,10,55,"Carlos
Sainz
SAI",AlphaTauri,1:42.911,1:42.482,1:42.708,17,
,11,33,"Max
Verstappen
VER",AlphaTauri,1:42.889,1:42.521,,14,
,12,22,"Jenson
Button
BUT",McLaren,1:42.570,1:42.668,,12,
,13,13,"Pastor
Maldonado
MAL",Alpine,1:42.929,1:42.807,,13,
,14,12,"Felipe
Nasr
NAS",Alfa Romeo,1:42.896,1:43.614,,14,
,15,8,"Romain
Grosjean
GRO",Alpine,1:42.585,DNF,,11,
,16,5,"Sebastian
Vettel
VET",Ferrari,1:42.941,,,7,
,17,14,"Fernando
Alonso
ALO",McLaren,1:43.187,,,5,
,18,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:43.838,,,7,
,19,28,"Will
Stevens
STE",Haas,1:46.297,,,7,
