Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,44,"Lewis
Hamilton
HAM",Mercedes,1:16.588,1:15.864,1:15.098,28,
,2,6,"Nico
Rosberg
ROS",Mercedes,1:16.528,1:15.471,1:15.440,25,
,3,5,"Sebastian
Vettel
VET",Ferrari,1:17.502,1:16.181,1:15.849,24,
,4,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:17.254,1:16.706,1:16.041,28,
,5,26,"Daniil
Kvyat
KVY",RedBull Racing,1:16.845,1:16.453,1:16.182,26,
,6,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:17.660,1:16.440,1:16.427,23,
,7,11,"Sergio
Perez
PER",Aston Martin,1:17.376,1:16.999,1:16.808,22,
,8,55,"Carlos
Sainz
SAI",AlphaTauri,1:17.246,1:16.762,1:16.931,29,
,9,13,"Pastor
Maldonado
MAL",Alpine,1:17.630,1:16.775,1:16.946,30,
,10,33,"Max
Verstappen
VER",AlphaTauri,1:16.750,1:16.546,1:16.957,29,
,11,8,"Romain
Grosjean
GRO",Alpine,1:17.767,1:17.007,,22,
,12,22,"Jenson
Button
BUT",McLaren,1:17.492,1:17.093,,20,
,13,27,"Nico
Hulkenberg
HUL",Aston Martin,1:17.552,1:17.193,,16,
,14,19,"Felipe
Massa
MAS",Williams,1:17.679,1:17.278,,22,
,15,14,"Fernando
Alonso
ALO",McLaren,1:17.778,1:26.632,,11,
,16,12,"Felipe
Nasr
NAS",Alfa Romeo,1:18.101,,,11,
,17,77,"Valtteri
Bottas
BOT",Williams,1:18.434,,,10,
,18,9,"Marcus
Ericsson
ERI",Alfa Romeo,1:18.513,,,11,
,19,28,"Will
Stevens
STE",Haas,1:20.655,,,9,
