Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,5,"Sebastian
Vettel
VET",Ferrari,1:43.336,1:40.529,1:39.491,19,
,2,33,"Max
Verstappen
VER",RedBull Racing,1:42.010,1:40.332,1:39.814,18,
,3,3,"Daniel
Ricciardo
RIC",RedBull Racing,1:42.063,1:40.385,1:39.840,18,
,4,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,1:43.328,1:40.525,1:40.069,18,
,5,44,"Lewis
Hamilton
HAM",Mercedes,1:42.455,1:40.577,1:40.126,17,
,6,77,"Valtteri
Bottas
BOT",Mercedes,1:43.137,1:41.409,1:40.810,16,
,7,27,"Nico
Hulkenberg
HUL",Alpine,1:42.586,1:41.277,1:41.013,18,
,8,14,"Fernando
Alonso
ALO",McLaren,1:42.086,1:41.442,1:41.179,20,
,9,2,"Stoffel
Vandoorne
VAN",McLaren,1:42.222,1:41.227,1:41.398,19,
,10,55,"Carlos
Sainz
SAI",AlphaTauri,1:42.176,1:41.826,1:42.056,20,
,11,30,"Jolyon
Palmer
PAL",Alpine,1:42.472,1:42.107,,12,
,12,11,"Sergio
Perez
PER",Aston Martin,1:43.594,1:42.246,,8,
,13,26,"Daniil
Kvyat
KVY",AlphaTauri,1:42.544,1:42.338,,14,
,14,31,"Esteban
Ocon
OCO",Aston Martin,1:43.626,1:42.760,,11,
,15,8,"Romain
Grosjean
GRO",Haas,1:43.627,1:43.883,,13,
,16,20,"Kevin
Magnussen
MAG",Haas,1:43.756,,,8,
,17,19,"Felipe
Massa
MAS",Williams,1:44.014,,,6,
,18,18,"Lance
Stroll
STR",Williams,1:44.728,,,9,
,19,94,"Pascal
Wehrlein
WEH",Alfa Romeo,1:45.059,,,9,
