Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,44,"Lewis
Hamilton
HAM",Mercedes,1:11.542,1:10.835,1:10.166,28,
,2,77,"Valtteri
Bottas
BOT",Mercedes,1:11.562,1:10.701,1:10.252,27,
,3,33,"Max
Verstappen
VER",RedBull Racing,1:11.597,1:10.618,1:10.641,19,
,4,5,"Sebastian
Vettel
VET",Ferrari,1:11.434,1:11.227,1:10.947,27,
,5,10,"Pierre
Gasly
GAS",RedBull Racing,1:11.740,1:11.457,1:11.041,24,
,6,20,"Kevin
Magnussen
MAG",Haas,1:11.865,1:11.363,1:11.109,24,
,7,3,"Daniel
Ricciardo
RIC",Alpine,1:11.767,1:11.543,1:11.218,25,
,8,26,"Daniil
Kvyat
KVY",AlphaTauri,1:11.602,1:11.412,1:11.271,30,
,9,55,"Carlos
Sainz
SAI",McLaren,1:11.872,1:11.608,1:11.417,30,
,10,23,"Alexander
Albon
ALB",AlphaTauri,1:12.007,1:11.429,1:11.653,31,
,11,27,"Nico
Hulkenberg
HUL",Alpine,1:12.097,1:11.670,,20,
,12,4,"Lando
Norris
NOR",McLaren,1:11.845,1:11.724,,22,
,13,8,"Romain
Grosjean
GRO",Haas,1:11.837,1:12.027,,21,
,14,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Alfa Romeo,1:11.993,1:12.115,,21,
,15,99,"Antonio
Giovinazzi
GIO",Alfa Romeo,1:11.976,1:12.185,,22,
,16,16,"Charles
Leclerc
LEC",Ferrari,1:12.149,,,8,
,17,11,"Sergio
Perez
PER",Aston Martin,1:12.233,,,11,
,18,18,"Lance
Stroll
STR",Aston Martin,1:12.846,,,11,
,19,63,"George
Russell
RUS",Williams,1:13.477,,,13,
