Unnamed: 0,Pos,No,Driver,Car,Q1,Q2,Q3,Laps,Unnamed: 9
,1,16,"Charles
Leclerc
LEC",Ferrari,1:38.014,1:36.650,1:36.217,18,
,2,44,"Lewis
Hamilton
HAM",Mercedes,1:37.565,1:36.933,1:36.408,19,
,3,5,"Sebastian
Vettel
VET",Ferrari,1:38.374,1:36.720,1:36.437,16,
,4,33,"Max
Verstappen
VER",RedBull Racing,1:38.540,1:37.089,1:36.813,15,
,5,77,"Valtteri
Bottas
BOT",Mercedes,1:37.317,1:37.142,1:37.146,18,
,6,23,"Alexander
Albon
ALB",RedBull Racing,1:39.106,1:37.865,1:37.411,16,
,7,55,"Carlos
Sainz
SAI",McLaren,1:38.882,1:37.982,1:37.818,19,
,NC,3,"Daniel
Ricciardo
RIC",Alpine,1:39.362,1:38.399,1:38.095,18,
,8,27,"Nico
Hulkenberg
HUL",Alpine,1:39.001,1:38.580,1:38.264,18,
,9,4,"Lando
Norris
NOR",McLaren,1:38.606,1:37.572,1:38.329,19,
,10,11,"Sergio
Perez
PER",Aston Martin,1:39.909,1:38.620,,14,
,11,99,"Antonio
Giovinazzi
GIO",Alfa Romeo,1:39.272,1:38.697,,14,
,12,10,"Pierre
Gasly
GAS",AlphaTauri,1:39.085,1:38.699,,12,
,13,7,"Kimi
RÃ¤ikkÃ¶nen
RAI",Alfa Romeo,1:39.454,1:38.858,,14,
,14,20,"Kevin
Magnussen
MAG",Haas,1:39.942,1:39.650,,14,
,15,26,"Daniil
Kvyat
KVY",AlphaTauri,1:39.957,,,7,
,16,18,"Lance
Stroll
STR",Aston Martin,1:39.979,,,8,
,17,8,"Romain
Grosjean
GRO",Haas,1:40.277,,,8,
,18,63,"George
Russell
RUS",Williams,1:40.867,,,7,
