Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,765,
,2,RedBull Racing,468,
,3,Ferrari,398,
,4,Aston Martin,173,
,5,Williams,138,
,6,McLaren,76,
,7,AlphaTauri,63,
,8,Haas,29,
,9,Alpine,8,
,10,Alfa Romeo,2,
