Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,655,
,2,Ferrari,571,
,3,RedBull Racing,419,
,4,Alpine,122,
,5,Haas,93,
,6,McLaren,62,
,7,Aston Martin,52,
,8,Alfa Romeo,48,
,9,AlphaTauri,33,
,10,Williams,7,
