Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,703,
,2,Ferrari,428,
,3,Williams,257,
,4,RedBull Racing,187,
,5,Aston Martin,136,
,6,Alpine,78,
,7,AlphaTauri,67,
,8,Alfa Romeo,36,
,9,McLaren,27,
,10,Haas,0,
