Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,739,
,2,Ferrari,504,
,3,RedBull Racing,417,
,4,McLaren,145,
,5,Alpine,91,
,6,AlphaTauri,85,
,7,Aston Martin,73,
,8,Alfa Romeo,57,
,9,Haas,28,
,10,Williams,1,
